variant,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,accuracy_mean,accuracy_std
full_text,0.9293333333333333,0.10756545532135513,0.7314285714285715,1.0,0.9591666666666667,0.05948477556112633
no_title,0.8667904761904761,0.11799220441867003,0.7314285714285715,1.0,0.9230555555555554,0.0698237938092009
greeting_and_core,0.8629809523809523,0.11383616678273459,0.7314285714285715,1.0,0.9163888888888888,0.07447694910911472
core_only,0.6739142857142856,0.1184081675643944,0.4833333333333333,1.0,0.7880555555555556,0.11230263895407526
subject_only,0.6696285714285714,0.09550454903118227,0.45999999999999996,0.7714285714285715,0.7775,0.09163531037945816
no_subject,0.9477333333333334,0.09151288629274439,0.76,1.0,0.9683333333333333,0.051360919642423626
distractor_text,0.9338285714285713,0.10409848069586587,0.7314285714285715,1.0,0.9613888888888888,0.05887811157959844
synonym_substitution,0.9274285714285714,0.10713091392240172,0.7314285714285715,1.0,0.9569444444444446,0.06000139097237081
generic_salutation,0.9198857142857143,0.10946703053529153,0.6933333333333332,1.0,0.943611111111111,0.07923650299198974
truncated_first_sentence,0.9074666666666666,0.11280156500555863,0.7314285714285715,1.0,0.9480555555555554,0.06120702121247373
typo_noise,0.901809523809524,0.11765695025560322,0.7314285714285715,1.0,0.9386111111111112,0.0762323173801763
